               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11198,            0.031371,                   0,           0.0030142,             0.49133,           0.0022547,           0.0006449,             0.10727,            0.018542,                   0,              0.0892,              0.0012,              0.0012
                   1,             0.10251,            0.031312,                   0,           0.0035333,             0.61272,           0.0030028,          0.00086602,            0.096456,            0.018844,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.093445,            0.030896,                   0,           0.0032333,             0.56069,           0.0025303,          0.00085067,            0.089452,            0.019463,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.085174,            0.030819,                   0,              0.0024,             0.41618,           0.0019242,          0.00062898,            0.082061,            0.018532,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.081287,             0.03029,                   0,           0.0028333,             0.49133,            0.002772,          0.00093264,            0.078583,            0.019112,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.077327,            0.029731,                   0,              0.0028,             0.48555,           0.0026246,           0.0008757,            0.075894,            0.018099,                   0,            0.030319,           0.0073188,           0.0073188
                   6,            0.076381,            0.029628,                   0,           0.0029667,             0.51445,           0.0030789,           0.0010179,            0.074535,            0.014843,                   0,            0.018465,           0.0084654,           0.0084654
                   7,            0.074001,            0.028859,                   0,           0.0028667,             0.49711,           0.0036561,           0.0011264,            0.073621,            0.015024,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.075773,            0.029639,                   0,           0.0024333,             0.42197,           0.0019945,          0.00051225,                 nan,                 nan,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.074091,            0.028588,                   0,               0.003,             0.52023,           0.0037311,           0.0010057,             0.07915,             0.01385,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.074326,            0.028798,                   0,            0.036468,            0.046243,             0.01817,           0.0033144,            0.084136,            0.013794,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.072084,            0.028624,                   0,               0.003,             0.52023,           0.0086886,            0.002111,            0.088178,              0.0123,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.072387,            0.029931,                   0,              0.0035,             0.60694,            0.017913,           0.0049972,            0.076708,            0.014751,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.072182,            0.029612,                   0,              0.0037,             0.64162,           0.0075722,           0.0019318,            0.078037,            0.015179,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.070036,            0.029243,                   0,              0.0038,             0.65896,           0.0077792,           0.0019581,            0.076717,            0.015493,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.069679,            0.028941,                   0,              0.0037,             0.64162,           0.0081808,            0.001883,            0.075799,            0.015628,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.067059,            0.030082,                   0,              0.0033,             0.57225,           0.0067558,           0.0016441,            0.074457,            0.015324,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.067748,            0.031128,                   0,           0.0032667,             0.56647,           0.0074405,           0.0019381,            0.073302,            0.015582,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.068419,            0.030299,                   0,           0.0032333,             0.56069,           0.0075205,           0.0020698,            0.072045,            0.015723,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.06872,             0.02946,                   0,           0.0036667,             0.63584,            0.017461,           0.0049265,             0.07249,            0.015816,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.066304,            0.030076,                   0,           0.0035333,             0.61272,             0.01022,           0.0026592,            0.073187,            0.016006,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.063936,            0.030326,                   0,           0.0040333,             0.69942,            0.013677,           0.0040014,            0.073045,            0.015969,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.064326,            0.030613,                   0,           0.0042197,             0.68208,           0.0096417,           0.0028774,            0.072449,             0.01615,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.061926,            0.030138,                   0,            0.018148,             0.26012,            0.014868,           0.0035407,            0.071799,            0.016878,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.060673,             0.02982,                   0,             0.04829,             0.42197,            0.050416,            0.012382,            0.070192,            0.022161,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.059292,            0.029535,                   0,            0.084363,            0.052023,            0.032899,           0.0098418,            0.073537,            0.014941,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.058162,            0.028798,                   0,             0.15331,             0.22818,             0.10428,            0.029315,            0.070688,            0.014859,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.059154,            0.029499,                   0,             0.22205,             0.15607,             0.11454,            0.035131,            0.068904,            0.014206,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.058832,            0.028341,                   0,             0.13773,             0.18497,            0.093592,            0.027071,            0.072473,            0.014829,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.057581,            0.028566,                   0,             0.16092,             0.16763,            0.088997,            0.029124,            0.072332,            0.018846,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.056786,            0.028229,                   0,            0.037427,            0.011561,           0.0045604,           0.0012501,             0.14587,            0.018223,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.055358,            0.029186,                   0,             0.10206,             0.13873,            0.042763,           0.0093072,            0.076361,             0.01627,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.055215,            0.028004,                   0,             0.16548,             0.10983,            0.057675,            0.020182,            0.073596,            0.015973,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.053001,            0.027391,                   0,             0.32058,             0.23121,             0.20745,            0.075984,            0.066957,            0.014223,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.051656,            0.027972,                   0,             0.44603,             0.21965,             0.23362,            0.078656,            0.067717,            0.013615,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.051489,            0.027418,                   0,             0.47199,             0.22737,             0.24551,            0.077157,            0.066266,            0.013351,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.05225,            0.026578,                   0,             0.54639,             0.41618,             0.43482,               0.149,            0.066853,            0.012282,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.051719,            0.026291,                   0,             0.40339,             0.23121,             0.19045,            0.047945,            0.075579,            0.013881,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.053437,            0.026724,                   0,             0.47761,             0.30636,             0.26567,            0.077249,            0.079868,            0.012538,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.050718,            0.025963,                   0,             0.47155,             0.19075,             0.23191,            0.092882,            0.066927,            0.013509,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.048785,            0.025275,                   0,             0.57385,             0.40475,             0.40556,             0.15637,            0.062051,            0.011671,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.047811,            0.024762,                   0,             0.52086,             0.32048,             0.35978,             0.14247,            0.063242,            0.012154,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.048933,            0.026073,                   0,             0.62831,             0.43971,             0.51273,             0.20339,            0.059822,            0.012137,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.045673,            0.024765,                   0,             0.60303,             0.55491,             0.52801,             0.16515,            0.060318,            0.011081,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.046742,             0.02458,                   0,             0.66639,             0.57803,             0.59922,             0.25318,            0.058433,            0.011294,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.046467,            0.025037,                   0,             0.24735,             0.13295,             0.10206,             0.03146,            0.075697,            0.013154,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.046746,            0.023448,                   0,             0.58234,              0.5803,             0.54646,             0.21937,            0.058982,            0.011821,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.045968,            0.023796,                   0,             0.51442,             0.57563,             0.54525,             0.21039,            0.062271,            0.012108,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.047153,            0.024744,                   0,             0.55659,             0.23699,             0.26453,              0.1025,            0.067175,            0.013691,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.04598,            0.025267,                   0,             0.55224,             0.47399,             0.46529,             0.20262,            0.061787,            0.011784,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.045377,            0.025222,                   0,             0.64727,             0.63584,             0.63162,             0.25014,            0.058694,            0.011882,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.046857,            0.023368,                   0,             0.57631,             0.54335,             0.51765,             0.15891,            0.064609,            0.011261,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.045107,            0.024466,                   0,             0.21445,             0.28404,             0.18678,            0.081533,            0.062791,            0.017523,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.043974,             0.02356,                   0,             0.58181,             0.36993,             0.39737,             0.14691,            0.069286,            0.011458,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.044669,            0.022882,                   0,             0.53054,             0.24277,             0.24852,              0.1028,            0.062331,            0.015645,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.045209,             0.02373,                   0,              0.5876,             0.54913,             0.55687,             0.26163,            0.061123,            0.010693,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.041727,            0.023323,                   0,             0.63574,             0.65576,             0.59537,             0.26632,            0.059315,            0.010589,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.041396,            0.022594,                   0,             0.60266,             0.58382,             0.54013,             0.24781,            0.060756,            0.011665,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.042306,            0.022816,                   0,             0.70691,             0.61272,             0.65008,             0.30344,             0.05513,            0.010933,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.041453,            0.022628,                   0,             0.65817,             0.64162,             0.65032,             0.30894,            0.053883,            0.010745,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.040102,            0.022315,                   0,             0.65135,             0.56155,             0.54285,             0.23225,            0.058677,             0.01143,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.042365,            0.023337,                   0,             0.71298,             0.68208,             0.69113,             0.35632,            0.052863,            0.010134,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.041505,            0.021553,                   0,             0.65598,             0.66474,              0.6302,             0.26512,            0.058727,            0.010754,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.041505,             0.02273,                   0,             0.66747,             0.66135,             0.65552,             0.29209,            0.057929,            0.010428,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.040981,            0.022392,                   0,             0.55425,             0.48555,             0.52579,             0.21903,            0.060598,            0.011227,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.038959,            0.021666,                   0,             0.73931,             0.59016,             0.62448,              0.2613,            0.059278,            0.010472,                   0,            0.003664,            0.003664,            0.003664
                  66,             0.03948,            0.022354,                   0,             0.67179,             0.66257,              0.6495,             0.32075,            0.056046,            0.010235,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.040524,            0.022957,                   0,             0.72099,             0.68786,             0.67172,              0.3201,            0.056841,            0.010214,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.039831,            0.021986,                   0,             0.70223,              0.6407,             0.66582,             0.31096,            0.057041,            0.010667,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.040329,            0.022067,                   0,             0.64212,             0.57043,             0.57255,              0.2557,             0.05911,            0.010987,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.039402,            0.021704,                   0,             0.66223,             0.54913,             0.59434,             0.25069,            0.059663,            0.010984,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040595,            0.021883,                   0,              0.7453,             0.71676,             0.69143,             0.33831,            0.053867,            0.010155,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.041065,             0.02195,                   0,             0.67648,             0.68786,             0.64971,              0.3074,            0.055546,            0.010322,                   0,            0.002971,            0.002971,            0.002971
